Frequency (GHz)	Re(Eqn(Ef1_T14)) : Output Equations1	Re(Eqn(Ef2_T14)) : Output Equations1	Re(Eqn(Ef3_T14)) : Output Equations1	Re(Eqn(Ef4_T14)) : Output Equations1	Re(Eqn(Ef5_T14)) : Output Equations1	Re(Eqn(Ef6_T14)) : Output Equations1	Re(Eqn(Ef7_T14)) : Output Equations1	Re(Eqn(Ef8_T14)) : Output Equations1	Re(Eqn(Ef9_T14)) : Output Equations1
29	-32.6795	-43.6096	-69.6533	-48.119	-37.8655	-38.6276	-35.5589	-32.6827	-32.5463
30	-32.43	-42.4788	-48.6757	-45.1776	-38.0415	-39.3225	-33.4215	-31.394	-32.011
31	-32.2655	-40.1687	-43.3605	-43.4268	-38.9159	-40.6464	-33.1582	-31.3928	-32.9794
32	-32.1901	-38.0536	-40.9323	-43.1103	-40.2008	-41.7898	-34.3929	-32.4238	-35.7322
33	-32.2105	-36.7041	-39.9895	-43.6766	-41.0381	-41.1963	-36.3209	-34.0567	-38.095
34	-32.338	-36.2398	-39.9552	-43.8372	-40.5323	-39.4018	-36.2521	-34.7576	-35.477
35	-32.6004	-36.7336	-40.3285	-42.4835	-39.4144	-38.0303	-33.949	-33.915	-33.2375
36	-33.0475	-38.3716	-40.4899	-40.4472	-38.7814	-37.6405	-32.3234	-33.3663	-33.0837
37	-33.7478	-41.6447	-40.048	-38.7295	-39.0458	-38.364	-32.0554	-34.0893	-35.1899
38	-34.7809	-47.7212	-39.2553	-37.6448	-40.2112	-40.356	-33.1424	-36.5115	-40.4952
39	-36.2324	-49.3174	-38.6081	-37.2992	-41.4213	-43.3076	-35.6646	-40.6762	-39.0474
40	-38.1829	-43.0731	-38.4527	-37.8253	-40.2024	-42.8656	-36.9692	-37.0272	-31.5604
41	-40.6282	-39.735	-39.0434	-39.4694	-37.0263	-38.7113	-32.6541	-30.7829	-26.9684
42	-43.076	-38.1554	-40.714	-42.7856	-34.1658	-35.4178	-28.3126	-26.6836	-24.009
43	-43.9289	-37.7848	-44.1746	-49.4077	-32.1344	-33.3382	-25.2209	-23.9427	-22.0954
44	-42.707	-38.5088	-51.3765	-52.214	-30.8661	-32.2116	-23.0464	-22.0993	-20.9407
45	-41.1131	-40.5024	-49.8043	-44.4914	-30.2455	-31.8659	-21.5685	-20.9305	-20.413
46	-40.0295	-44.2985	-42.7322	-40.6507	-30.1863	-32.2204	-20.657	-20.3111	-20.4763
47	-39.606	-48.9482	-38.9622	-38.6077	-30.6431	-33.275	-20.212	-20.1574	-21.1318
48	-39.865	-44.9556	-36.7203	-37.6504	-31.6232	-35.1428	-20.1585	-20.4148	-22.3793
49	-40.8856	-40.2855	-35.3997	-37.5468	-33.2142	-38.1884	-20.454	-21.0456	-24.2114
50	-42.9143	-37.3979	-34.7569	-38.2637	-35.6521	-43.637	-21.0862	-22.0145	-26.6599
51	-46.6737	-35.6109	-34.6843	-39.9305	-39.5539	-58.4262	-22.0548	-23.29	-29.9119
52	-54.9658	-34.5522	-35.1341	-42.9828	-47.3128	-45.1656	-23.3484	-24.8535	-34.5065
53	-52.9636	-34.0307	-36.0901	-49.0174	-55.1035	-39.2921	-24.9381	-26.6908	-41.3938
54	-44.8678	-33.9399	-37.5528	-66.354	-42.7433	-36.2565	-26.7874	-28.7513	-44.0607
55	-40.6134	-34.2175	-39.5156	-47.6219	-38.4348	-34.5214	-28.8562	-30.888	-40.3688
56	-37.8492	-34.8348	-41.8569	-42.2205	-36.1597	-33.6466	-31.0885	-32.8633	-39.3376
57	-35.9046	-35.8011	-43.943	-39.2116	-34.9493	-33.4697	-33.3826	-34.5147	-40.5432
58	-34.5029	-37.1767	-44.3385	-37.2612	-34.4776	-33.9246	-35.5687	-35.8558	-44.0926
59	-33.5052	-39.0855	-42.8501	-35.9177	-34.6051	-34.9571	-37.4649	-36.7821	-51.4444
60	-32.8339	-41.7082	-40.8845	-34.9834	-35.213	-36.2969	-38.9538	-36.8267	-48.03
61	-32.4436	-44.9819	-39.178	-34.3687	-35.9781	-36.8536	-39.8395	-35.8121	-41.4932
62	-32.3082	-46.5389	-37.8723	-34.0368	-36.0701	-35.3255	-39.7938	-34.3183	-37.8803
63	-32.414	-43.8332	-36.9591	-33.9741	-34.7224	-32.642	-38.8864	-32.9004	-35.7269
64	-32.7557	-40.5614	-36.411	-34.1693	-32.4669	-30.0602	-37.6308	-31.7469	-34.4972
65	-33.3337	-38.0598	-36.2056	-34.5853	-30.167	-27.9043	-36.4242	-30.8682	-33.9432
66	-34.1506	-36.2305	-36.3245	-35.1102	-28.16	-26.1576	-35.4298	-30.2446	-33.9393
67	-35.2033	-34.9038	-36.7376	-35.4927	-26.489	-24.7482	-34.6887	-29.8684	-34.4402
68	-36.4626	-33.9638	-37.367	-35.3655	-25.1163	-23.6096	-34.175	-29.737	-35.4635
69	-37.8226	-33.3351	-38.0156	-34.5225	-23.9922	-22.6888	-33.8086	-29.8318	-37.0756
70	-39.0076	-32.9665	-38.3011	-33.1524	-23.072	-21.9443	-33.4721	-30.1045	-39.3757
71	-39.5535	-32.822	-37.8217	-31.6036	-22.3185	-21.3436	-33.0533	-30.478	-42.4287
72	-39.1643	-32.8739	-36.5849	-30.1093	-21.7016	-20.8606	-32.5011	-30.8621	-45.7849
73	-38.0888	-33.0992	-34.9805	-28.7652	-21.1963	-20.4741	-31.8475	-31.1823	-47.1586
74	-36.7814	-33.4751	-33.3516	-27.5928	-20.7823	-20.1663	-31.1724	-31.4053	-45.7351
75	-35.5176	-33.9755	-31.8561	-26.5835	-20.4423	-19.9222	-30.5534	-31.544	-44.0588
76	-34.3968	-34.5645	-30.5375	-25.7186	-20.1618	-19.7289	-30.0401	-31.6376	-43.0086
77	-33.4359	-35.1902	-29.3927	-24.9779	-19.9283	-19.5749	-29.6523	-31.7262	-42.5505
78	-32.623	-35.7791	-28.4035	-24.342	-19.7308	-19.4501	-29.3887	-31.8367	-42.5411
79	-31.9387	-36.239	-27.5484	-23.7938	-19.5597	-19.3456	-29.2348	-31.9797	-42.8412
80	-31.3634	-36.4813	-26.8072	-23.3182	-19.4068	-19.2533	-29.1694	-32.153	-43.3086
81	-30.8795	-36.4579	-26.1621	-22.9021	-19.2648	-19.1662	-29.1687	-32.3468	-43.7831
82	-30.4717	-36.1864	-25.5978	-22.5344	-19.1273	-19.0782	-29.209	-32.5471	-44.0965
83	-30.1272	-35.737	-25.1016	-22.2056	-18.9894	-18.9842	-29.2679	-32.7392	-44.1252
84	-29.8353	-35.1955	-24.663	-21.9078	-18.8467	-18.8801	-29.3257	-32.909	-43.8503
85	-29.5871	-34.6342	-24.2738	-21.6349	-18.6961	-18.7626	-29.3659	-33.0441	-43.3539
86	-29.3753	-34.1026	-23.9275	-21.3817	-18.5354	-18.6296	-29.3752	-33.1343	-42.7541
87	-29.1942	-33.6306	-23.6192	-21.1446	-18.3631	-18.4793	-29.3441	-33.171	-42.1489
88	-29.0394	-33.2347	-23.3459	-20.9212	-18.1785	-18.3111	-29.2664	-33.1478	-41.6011
89	-28.9081	-32.9236	-23.1055	-20.7099	-17.9816	-18.1246	-29.139	-33.0594	-41.1455
90	-28.7987	-32.7016	-22.8972	-20.5102	-17.7728	-17.9204	-28.9621	-32.9024	-40.8004
91	-28.7108	-32.5709	-22.7216	-20.3225	-17.5533	-17.6994	-28.7382	-32.6753	-40.5762
92	-28.6457	-32.5321	-22.58	-20.1483	-17.3247	-17.463	-28.4727	-32.3786	-40.4802
93	-28.6059	-32.585	-22.475	-19.9897	-17.089	-17.2134	-28.1726	-32.0159	-40.5194
94	-28.5954	-32.727	-22.4101	-19.85	-16.8487	-16.9532	-27.8471	-31.5934	-40.7015
95	-28.6199	-32.9521	-22.3901	-19.7332	-16.6072	-16.6854	-27.507	-31.1206	-41.035
96	-28.687	-33.247	-22.4205	-19.6443	-16.368	-16.4137	-27.1644	-30.6099	-41.5276
97	-28.8061	-33.5869	-22.5085	-19.5892	-16.1354	-16.1425	-26.8331	-30.0761	-42.1827
98	-28.9892	-33.9297	-22.6619	-19.5751	-15.9144	-15.8765	-26.528	-29.5356	-42.9903
99	-29.2514	-34.2127	-22.8901	-19.6098	-15.7102	-15.6211	-26.2651	-29.0058	-43.9061
100	-29.6116	-34.3585	-23.2033	-19.7026	-15.5291	-15.3822	-26.0612	-28.5037	-44.8071
101	-30.0946	-34.2995	-23.6126	-19.8635	-15.3775	-15.1665	-25.9339	-28.0451	-45.4244
102	-30.7332	-34.0108	-24.1293	-20.1039	-15.2627	-14.9808	-25.9005	-27.6424	-45.354
103	-31.5729	-33.5289	-24.7633	-20.4358	-15.1925	-14.8327	-25.9776	-27.3029	-44.3394
104	-32.6812	-32.9341	-25.5201	-20.8719	-15.1751	-14.7303	-26.1792	-27.0256	-42.5622
105	-34.1653	-32.3171	-26.3952	-21.4246	-15.2195	-14.6821	-26.515	-26.7998	-40.4261
106	-36.2149	-31.7544	-27.362	-22.1045	-15.3351	-14.6972	-26.9873	-26.6045	-38.2408
107	-39.2174	-31.3008	-28.3544	-22.9166	-15.5325	-14.7853	-27.589	-26.4141	-36.1691
108	-44.1147	-30.992	-29.2475	-23.8529	-15.8236	-14.9573	-28.3039	-26.211	-34.281
109	-50.5669	-30.8489	-29.8692	-24.8775	-16.2229	-15.2257	-29.116	-26.002	-32.6053
110	-43.9787	-30.8805	-30.0807	-25.9009	-16.7487	-15.6058	-30.0344	-25.8284	-31.1644
111	-38.5737	-31.0861	-29.8836	-26.7523	-17.4263	-16.1178	-31.1274	-25.7557	-29.9839
112	-35.1307	-31.4573	-29.4171	-27.2017	-18.2909	-16.7897	-32.5462	-25.8517	-29.0872
113	-32.6776	-31.9829	-28.8535	-27.0952	-19.3933	-17.6615	-34.5363	-26.1709	-28.4931
114	-30.8209	-32.6563	-28.3246	-26.5019	-20.8044	-18.7909	-37.5079	-26.7549	-28.2231
115	-29.375	-33.4709	-27.9203	-25.6561	-22.6173	-20.2622	-42.3728	-27.641	-28.312
116	-28.2433	-34.3576	-27.7132	-24.7916	-24.9195	-22.1975	-51.1565	-28.8603	-28.8182
117	-27.3759	-34.9864	-27.7813	-24.071	-27.5863	-24.7566	-46.4075	-30.3959	-29.8432
118	-26.7529	-34.616	-28.2235	-23.6009	-29.4635	-27.9721	-40.788	-32.0308	-31.5888
119	-26.3771	-32.8726	-29.17	-23.4642	-28.7639	-30.5003	-37.8275	-33.1094	-34.5221
120	-26.2714	-30.442	-30.7685	-23.7477	-26.7461	-29.335	-35.7949	-32.9408	-39.6525
121	-26.4799	-28.0498	-32.9435	-24.5718	-25.03	-26.6519	-33.5526	-31.8222	-41.2497
122	-27.0748	-25.9823	-34.0493	-26.1459	-23.9661	-24.5818	-30.4803	-30.3692	-34.6926
123	-28.1757	-24.3039	-31.6886	-28.9234	-23.5618	-23.2965	-26.9063	-28.6146	-30.8221
124	-29.9994	-23.0145	-28.2759	-34.302	-23.8221	-22.6918	-23.3461	-26.2095	-29.2322
125	-33.0209	-22.1033	-25.482	-51.1797	-24.8305	-22.71	-20.0244	-23.0862	-30.0985
126	-38.7316	-21.5642	-23.4081	-34.1872	-26.7984	-23.3736	-17.0075	-19.6937	-36.5577
127	-66.8788	-21.4012	-21.9356	-28.2534	-29.9276	-24.7942	-14.3218	-16.4935	-35.1163
128	-38.6403	-21.6328	-20.9715	-25.0242	-31.6621	-27.0928	-11.9835	-13.6965	-23.598
129	-32.9557	-22.3005	-20.4662	-23.054	-27.618	-29.4233	-10.0005	-11.3432	-17.7639
130	-30.0059	-23.4839	-20.4132	-21.9223	-23.3654	-28.1113	-8.37293	-9.40725	-13.7942
131	-28.3556	-25.3316	-20.8517	-21.4981	-20.3333	-24.4722	-7.09618	-7.85201	-10.8487
132	-27.5887	-28.1155	-21.8787	-21.793	-18.2525	-21.4994	-6.1703	-6.65927	-8.6134
133	-27.5683	-32.2233	-23.6813	-22.9462	-16.9125	-19.4793	-5.61072	-5.8382	-6.96032
134	-28.292	-36.1699	-26.6174	-25.3135	-16.2019	-18.2697	-5.45442	-5.421	-5.84188
135	-29.8492	-33.901	-31.3188	-29.8707	-16.0743	-17.777	-5.76182	-5.45603	-5.24762
136	-32.2908	-30.854	-35.5693	-38.7072	-16.5378	-17.992	-6.62499	-6.01217	-5.19653
137	-34.5819	-29.5632	-31.4761	-31.8577	-17.6625	-19.0069	-8.19766	-7.20335	-5.75203
138	-33.4201	-30.0571	-27.942	-26.2724	-19.6005	-21.0729	-10.7735	-9.24177	-7.05
139	-30.3197	-33.0136	-26.1792	-23.4833	-22.5822	-24.7332	-15.0045	-12.5733	-9.35678
140	-27.8387	-43.6951	-25.6026	-22.1936	-26.4187	-30.0083	-22.3462	-18.4619	-13.2787
141	-26.2037	-36.7891	-25.7814	-22.0406	-27.6866	-28.0141	-22.8484	-35.8812	-20.9332
142	-25.1829	-28.4143	-26.0673	-23.0107	-25.2964	-23.5212	-17.4436	-22.5784	-29.3058
143	-24.4324	-24.3651	-25.5273	-25.3662	-23.507	-21.1542	-15.2878	-17.9593	-18.7895
144	-23.4896	-22.1427	-24.0621	-29.6471	-22.9705	-20.3542	-15.1874	-16.9774	-16.1175
145	-21.9954	-21.2202	-22.5767	-32.8939	-23.0768	-20.7689	-16.8908	-18.1052	-16.6134
146	-20.0427	-21.569	-21.7696	-28.5527	-22.4268	-21.9426	-19.9478	-19.7778	-20.5816
147	-18.0143	-23.5558	-22.0391	-25.3395	-20.3157	-22.3858	-19.5879	-17.7525	-29.523
148	-16.2084	-27.9705	-23.9445	-24.2652	-17.9449	-20.7207	-15.917	-14.1861	-19.2521
149	-14.7641	-27.7349	-29.2263	-25.2552	-16.2295	-18.5139	-13.5352	-11.8103	-14.1001
150	-13.7327	-20.9289	-33.1441	-28.9444	-15.4431	-17.1085	-12.7065	-10.7279	-11.8397
151	-13.1358	-16.4538	-22.8332	-29.8306	-15.7491	-16.8832	-13.2642	-10.7816	-11.3367
152	-12.9939	-13.5505	-17.5936	-22.6373	-17.5187	-18.1788	-15.2309	-11.8895	-12.2661
153	-13.3418	-11.6722	-14.4359	-17.8382	-21.9888	-22.0995	-18.6479	-14.0125	-14.4323
154	-14.2405	-10.5765	-12.4978	-14.8278	-37.219	-37.647	-22.2642	-16.9793	-16.9541
155	-15.7929	-10.1564	-11.4782	-13.0044	-22.2105	-23.204	-22.9302	-19.9445	-17.4892
156	-18.1815	-10.3792	-11.2769	-12.1306	-16.0212	-16.3136	-23.0286	-20.8884	-16.4195
157	-21.7725	-11.2707	-11.9098	-12.1448	-12.922	-12.8588	-23.4744	-18.9009	-15.6892
158	-27.4745	-12.9244	-13.5107	-13.113	-11.3665	-11.0175	-19.9053	-15.7817	-15.1766
159	-36.7369	-15.5368	-16.4181	-15.2771	-10.9401	-10.3105	-15.2711	-13.0602	-14.1569
160	-32.4139	-19.4818	-21.4895	-19.3254	-11.5505	-10.5981	-12.1273	-11.2358	-12.8805
161	-28.2572	-25.1542	-28.8367	-27.96	-13.2904	-11.91	-10.4403	-10.416	-12.1029
162	-26.4302	-28.4072	-24.0367	-29.3129	-16.4538	-14.447	-10.011	-10.6095	-12.2349
163	-25.1076	-25.9338	-20.067	-21.7877	-21.3452	-18.6819	-10.7214	-11.7867	-13.4225
164	-23.4475	-25.0096	-18.709	-19.3964	-23.9695	-24.686	-12.5366	-13.825	-15.565
165	-21.6543	-26.2034	-19.2245	-19.5204	-20.959	-24.682	-15.4842	-16.258	-17.5959
166	-20.2737	-27.9018	-21.8019	-22.1097	-19.2764	-21.8564	-19.5273	-18.219	-17.7332
167	-19.6203	-25.4458	-28.1601	-28.6939	-19.6196	-21.6288	-24.3841	-19.8522	-17.079
168	-19.8452	-21.5579	-34.5338	-27.1086	-21.9088	-24.2268	-30.6851	-22.6842	-17.1703
169	-21.0942	-18.9237	-24.6769	-20.397	-25.823	-31.923	-39.0777	-26.5619	-17.9702
170	-23.5752	-17.5365	-21.1264	-17.218	-26.3526	-32.3	-29.087	-23.5311	-18.5321
171	-27.0819	-17.2042	-20.1939	-15.9761	-23.1275	-24.6048	-25.5053	-19.7966	-18.4134
172	-27.9701	-17.8332	-21.2754	-16.2039	-21.382	-21.9348	-26.3835	-18.578	-18.5609
173	-25.1725	-19.4168	-24.9346	-17.906	-21.444	-21.7121	-36.5625	-19.7957	-19.9142
174	-23.1234	-22.006	-35.65	-21.5147	-23.1839	-23.5257	-27.6586	-23.9065	-22.8447
175	-22.4393	-25.6823	-32.2253	-27.9679	-26.2732	-27.3385	-19.2993	-24.7493	-26.0255
176	-22.6544	-30.8068	-25.2535	-29.2271	-28.3274	-29.84	-15.3994	-18.993	-26.5695
177	-22.5589	-39.2111	-23.561	-24.8356	-27.6992	-27.5401	-13.6312	-15.6332	-26.5541
178	-20.8377	-31.9356	-25.0251	-23.6559	-28.1292	-26.6634	-13.4934	-14.1374	-25.5471
179	-18.3053	-24.5035	-30.8652	-25.017	-32.6065	-29.1985	-14.8804	-14.0548	-22.5972
180	-16.1397	-20.0409	-28.9254	-27.1437	-42.2274	-41.1753	-17.9458	-15.3245	-20.6465
181	-14.61	-17.1617	-21.6342	-24.7717	-28.1916	-31.0076	-23.4021	-18.2176	-21.409
182	-13.525	-15.2815	-18.0952	-21.4923	-23.5928	-24.4465	-34.988	-23.912	-27.4759
183	-12.4259	-13.8986	-16.4714	-19.9936	-21.6522	-21.7872	-36.0657	-32.8103	-31.6349
184	-10.8163	-12.3742	-15.6613	-19.5171	-19.6979	-19.9236	-29.1982	-25.4899	-21.4351
185	-8.66082	-10.2438	-14.0782	-17.239	-15.6218	-16.3395	-23.6532	-21.9267	-19.8936
186	-6.36469	-7.71517	-10.9927	-12.746	-11.0315	-11.7839	-16.9348	-17.3888	-27.5033
187	-4.28548	-5.28739	-7.62144	-8.57086	-7.23538	-7.83372	-11.3125	-11.5984	-19.4848
188	-2.58416	-3.25325	-4.79759	-5.35049	-4.35141	-4.78876	-6.99937	-6.93644	-9.76882
189	-1.30663	-1.7049	-2.66875	-2.99469	-2.26725	-2.56735	-3.811	-3.60712	-4.81131
190	-0.454848	-0.652386	-1.19382	-1.3706	-0.881876	-1.06703	-1.6236	-1.4164	-1.89753
191	-0.0203921	-0.0861127	-0.316065	-0.388494	-0.134011	-0.220872	-0.363265	-0.232497	-0.366535
192	0	0	0	0	0	0	0	0	0
193	-0.404254	-0.400706	-0.236244	-0.190686	-0.492424	-0.412328	-0.569144	-0.744248	-0.767082
194	-1.26341	-1.3152	-1.04117	-0.977224	-1.66733	-1.5096	-2.2082	-2.60835	-2.81353
195	-2.63313	-2.8023	-2.4607	-2.41159	-3.6481	-3.41202	-5.25417	-5.96786	-6.6148
196	-4.60413	-4.97187	-4.58344	-4.59498	-6.68515	-6.37215	-10.5885	-11.932	-13.7403
197	-7.3184	-8.01385	-7.5602	-7.69604	-11.2954	-10.9466	-19.5759	-26.1052	-23.8948
198	-10.962	-12.1892	-11.552	-11.8557	-18.0029	-18.1076	-15.7847	-18.1676	-15.2388
199	-15.3545	-17.0455	-15.8793	-15.918	-19.0981	-19.6772	-12.3792	-14.4738	-13.4714
200	-17.6236	-18.2089	-16.9367	-15.9891	-15.8205	-15.5737	-12.2578	-14.7333	-15.5794
201	-16.1148	-16.4516	-15.6336	-14.5061	-15.0462	-14.3197	-14.4487	-16.6393	-22.5814
202	-14.7254	-15.861	-15.2974	-14.2207	-16.5922	-15.25	-17.6701	-16.0348	-19.969
203	-14.4923	-16.9667	-16.5466	-15.4679	-21.0722	-18.3949	-16.4995	-12.9606	-13.7759
204	-15.4213	-20.2738	-19.8646	-18.6516	-26.6108	-23.8718	-13.5022	-10.8139	-11.2356
205	-17.6208	-28.6791	-26.934	-25.7725	-19.4227	-22.0021	-12.1044	-10.0103	-10.6528
206	-21.5196	-28.7567	-27.0149	-34.0253	-14.9804	-17.2226	-12.3305	-10.3742	-11.4405
207	-27.1229	-20.192	-20.3197	-22.4331	-12.7643	-14.7588	-14.1039	-11.7575	-13.2334
208	-25.6352	-16.6087	-17.2165	-18.7375	-11.8837	-13.8584	-17.6484	-14.0332	-15.3497
209	-21.3043	-14.9066	-15.9082	-17.438	-12.0078	-14.1459	-23.5115	-16.9469	-16.6127
210	-18.9425	-14.3538	-15.7809	-17.6295	-13.0214	-15.5293	-28.2576	-19.7775	-16.8343
211	-17.9336	-14.6965	-16.6266	-19.1592	-14.9162	-18.0819	-25.8962	-21.0967	-16.8575
212	-17.8954	-15.8633	-18.4299	-22.356	-17.7117	-21.7863	-25.2478	-20.1426	-16.8048
213	-18.6725	-17.8906	-21.3246	-28.8117	-21.1429	-24.6324	-25.0872	-18.0651	-16.3271
214	-20.2436	-20.8878	-25.4892	-42.9764	-23.5849	-23.2614	-21.9399	-16.1001	-15.571
215	-22.7109	-24.8188	-29.5422	-28.1215	-23.4112	-21.2883	-18.3709	-14.7793	-15.1213
216	-26.3284	-28.0653	-28.7323	-23.8427	-22.5731	-20.472	-16.0256	-14.2643	-15.4061
217	-31.1799	-27.7726	-26.5881	-22.171	-22.3543	-20.7579	-14.831	-14.5738	-16.5845
218	-33.2336	-26.6054	-25.6628	-21.9459	-22.6338	-21.8923	-14.5955	-15.677	-18.5878
219	-30.1932	-26.5597	-25.8243	-22.8683	-22.7096	-23.273	-15.2394	-17.4858	-20.745
220	-27.8472	-28.0154	-26.6762	-24.9628	-21.9676	-23.6571	-16.7612	-19.6007	-21.2453
221	-26.7341	-31.6683	-27.5166	-28.5217	-20.6971	-22.6221	-19.1383	-20.9337	-19.983
222	-26.5148	-40.5725	-27.3619	-33.3641	-19.5352	-21.2784	-22.1052	-20.9277	-18.8401
223	-26.9442	-36.0819	-26.1233	-32.8427	-18.8011	-20.3763	-24.749	-20.6686	-18.529
224	-27.8104	-28.8751	-24.6518	-28.7633	-18.5724	-20.0874	-26.1285	-21.0745	-19.0544
225	-28.8308	-25.158	-23.4939	-26.1522	-18.8491	-20.4175	-27.055	-22.542	-20.2961
226	-29.602	-22.9099	-22.7845	-24.7411	-19.6253	-21.3684	-28.9143	-25.5157	-22.072
227	-29.7897	-21.5029	-22.5042	-24.1519	-20.9091	-22.9849	-32.8932	-30.979	-23.9117
228	-29.4501	-20.6527	-22.5924	-24.1684	-22.7237	-25.3812	-41.1681	-35.768	-24.9969
229	-28.9124	-20.1981	-22.9778	-24.6567	-25.0828	-28.7652	-37.6814	-30.0176	-25.1507
230	-28.4266	-20.0337	-23.5833	-25.5172	-27.876	-33.213	-32.1204	-26.6121	-25.1127
231	-28.0671	-20.0838	-24.3226	-26.6532	-30.4618	-35.9761	-29.9683	-25.1882	-25.4276
232	-27.7941	-20.291	-25.1001	-27.9331	-31.4105	-33.5397	-29.8682	-25.0886	-26.2306
233	-27.5245	-20.6116	-25.8201	-29.1455	-30.5737	-30.8253	-31.6846	-26.2329	-27.4515
234	-27.1915	-21.0137	-26.4118	-29.9992	-29.3151	-29.0599	-35.5199	-29.0153	-28.8203
235	-26.7831	-21.4764	-26.8515	-30.267	-28.3039	-27.9835	-35.7172	-35.0649	-29.8616
236	-26.3397	-21.9887	-27.159	-29.9786	-27.6428	-27.3768	-30.6148	-47.0884	-30.3546
237	-25.9233	-22.546	-27.3662	-29.3652	-27.3062	-27.1181	-27.0548	-33.4269	-30.7074
238	-25.5859	-23.146	-27.4884	-28.6487	-27.2613	-27.1462	-24.8981	-28.781	-31.4554
239	-25.3543	-23.7837	-27.5191	-27.9558	-27.4866	-27.4341	-23.6341	-26.5138	-32.8721
240	-25.2305	-24.4495	-27.4456	-27.3399	-27.9674	-27.9727	-22.9561	-25.3522	-34.909
241	-25.1965	-25.1283	-27.2706	-26.8179	-28.6874	-28.7598	-22.6896	-24.8068	-36.7874
242	-25.2242	-25.8031	-27.0208	-26.3912	-29.6182	-29.7913	-22.7592	-24.6431	-36.739
243	-25.2877	-26.46	-26.74	-26.0563	-30.7036	-31.0476	-23.1551	-24.7619	-34.8631
244	-25.3755	-27.0943	-26.4737	-25.8099	-31.8431	-32.4736	-23.8933	-25.1386	-32.8397
245	-25.4982	-27.7133	-26.2596	-25.651	-32.8925	-33.9503	-24.9898	-25.7749	-31.3191
